area,title,link,employer_name,employer_link,employer_img,respond_link,salary
Казань,Работник склада,https://nn.hh.ru/vacancy/71494288,ООО КАЗАНЬЭКСПРЕСС,https://nn.hh.ru/employer/3590333,https://img.hhcdn.ru/employer-logo/3905228.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=71494288&hhtmFrom=vacancy_search_list,от 50 000 руб.
Казань,Специалист письменной поддержки пользователей,https://nn.hh.ru/vacancy/74193081,Авито: поддержка и модерация,https://nn.hh.ru/employer/84585,https://img.hhcdn.ru/employer-logo/5641865.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74193081&hhtmFrom=vacancy_search_list,33 200 – 39 800 руб.
Казань,Сборщик заказов,https://nn.hh.ru/vacancy/71342345,СберМаркет,https://nn.hh.ru/employer/1272486,https://img.hhcdn.ru/employer-logo/3899104.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=71342345&hhtmFrom=vacancy_search_list,до 70 000 руб.
Казань,Сборщик,https://nn.hh.ru/vacancy/74946136,ООО КАЗАНЬЭКСПРЕСС,https://nn.hh.ru/employer/3590333,https://img.hhcdn.ru/employer-logo/3905228.png,https://nn.hh.ruhttps://vrsurvey.hh.ru/kazan_sborshchik?utm_source=hh_lead_gen&utm_medium=VHR&utm_campaign=kazan_exspress,от 50 000 руб.
Казань,"Менеджер по работе с клиентами (удаленная работа, продажи)",https://nn.hh.ru/vacancy/69558967,VooLna,https://nn.hh.ru/employer/3153540,https://img.hhcdn.ru/employer-logo/4249621.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=69558967&hhtmFrom=vacancy_search_list,50 000 – 100 000 руб.
Казань,Менеджер по продажам новостроек,https://nn.hh.ru/vacancy/74836033,ГК Ассистент,https://nn.hh.ru/employer/2658218,https://img.hhcdn.ru/employer-logo/3524926.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74836033&hhtmFrom=vacancy_search_list,60 000 – 400 000 руб.
Казань,Курьер на легкие посылки (Подработка),https://nn.hh.ru/vacancy/73802385,Центр обучения курьеров,https://nn.hh.ru/employer/5371934,https://img.hhcdn.ru/employer-logo/5734873.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73802385&hhtmFrom=vacancy_search_list,80 000 – 137 000 руб.
Казань,Старший менеджер по обслуживанию,https://nn.hh.ru/vacancy/74945256,Сбер. Работа с клиентами,https://nn.hh.ru/employer/3529,https://img.hhcdn.ru/employer-logo/5756157.png,https://nn.hh.ruhttps://hh.ru/article/30991?utm_source=hh_lead_gen&utm_medium=vhr&utm_campaign=sber_seniormanager_premium,
Казань,Курьер по доставке легких заказов (Подработка),https://nn.hh.ru/vacancy/75065666,Я.Курьер (ИП Парфенова Дарья Олеговна),https://nn.hh.ru/employer/5098942,https://img.hhcdn.ru/employer-logo/4133297.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75065666&hhtmFrom=vacancy_search_list,75 000 – 139 000 руб.
Казань,Курьер праздничного дня (подработка),https://nn.hh.ru/vacancy/74823472,ООО Догма Голд,https://nn.hh.ru/employer/4419529,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74823472&hhtmFrom=vacancy_search_list,до 75 000 руб.
Казань,Менеджер по маркетингу и связям с общественностью,https://nn.hh.ru/vacancy/72121373,ООО HeadHunter::Департамент маркетинга,https://nn.hh.ru/employer/1455,https://img.hhcdn.ru/employer-logo/4069248.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=72121373&hhtmFrom=vacancy_search_list,
Казань,Водитель-курьер на личном автомобиле,https://nn.hh.ru/vacancy/66233893,СберМаркет,https://nn.hh.ru/employer/1272486,https://img.hhcdn.ru/employer-logo/3899104.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=66233893&hhtmFrom=vacancy_search_list,до 120 000 руб.
Казань,Курьер,https://nn.hh.ru/vacancy/69954288,СберМаркет,https://nn.hh.ru/employer/1272486,https://img.hhcdn.ru/employer-logo/3899104.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=69954288&hhtmFrom=vacancy_search_list,до 105 000 руб.
