area,title,link,employer_name,employer_link,employer_img,respond_link,salary
Москва,Личный водитель,https://nn.hh.ru/vacancy/73344516,Агентство MEDES,https://nn.hh.ru/employer/4676975,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73344516&hhtmFrom=vacancy_search_list,от 140 000 руб.
Москва,Шеф-повар,https://nn.hh.ru/vacancy/75177285,ICONFOOD,https://nn.hh.ru/employer/910120,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75177285&hhtmFrom=vacancy_search_list,от 180 000 руб.
Москва,Охранник на загородный дом (4000 за смену),https://nn.hh.ru/vacancy/73724125,ООО Гарант-Консалтингъ,https://nn.hh.ru/employer/8886503,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73724125&hhtmFrom=vacancy_search_list,от 60 000 руб.
Москва,"Администратор в Раковарню ""Клешни и Хвосты""",https://nn.hh.ru/vacancy/73932281,Раковарня Клешни и Хвосты,https://nn.hh.ru/employer/4865944,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73932281&hhtmFrom=vacancy_search_list,60 000 – 70 000 руб.
Москва,Логист (начинающий специалист),https://nn.hh.ru/vacancy/73889143,Avilon Group,https://nn.hh.ru/employer/4131,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73889143&hhtmFrom=vacancy_search_list,до 64 000 руб.
Москва,Руководитель отдела персонала,https://nn.hh.ru/vacancy/75059678,Koroleva HR,https://nn.hh.ru/employer/5294777,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75059678&hhtmFrom=vacancy_search_list,130 000 – 200 000 руб.
Москва,Администратор салона красоты,https://nn.hh.ru/vacancy/75180634,Министерство Красоты,https://nn.hh.ru/employer/9459282,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75180634&hhtmFrom=vacancy_search_list,от 70 000 руб.
Москва,Администратор косметологического центра (онлайн),https://nn.hh.ru/vacancy/73627959,ИП Билан Анастасия Владиславовна,https://nn.hh.ru/employer/5096884,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73627959&hhtmFrom=vacancy_search_list,30 000 – 45 000 руб.
Москва,"Менеджер по работе с маркетплейсами, удаленно",https://nn.hh.ru/vacancy/74253563,Косметикапроф,https://nn.hh.ru/employer/1249073,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74253563&hhtmFrom=vacancy_search_list,от 40 000 руб.
Москва,Хостес,https://nn.hh.ru/vacancy/74320112,Why Not,https://nn.hh.ru/employer/9442291,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74320112&hhtmFrom=vacancy_search_list,70 000 – 110 000 руб.
Москва,"Администратор гостиницы, дома отдыха",https://nn.hh.ru/vacancy/75054485,Гостиница Хрустальный Дом,https://nn.hh.ru/employer/9064738,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75054485&hhtmFrom=vacancy_search_list,40 000 – 70 000 руб.
Москва,Тестировщик web-сайтов,https://nn.hh.ru/vacancy/74255273,Man Web Interactive,https://nn.hh.ru/employer/1680984,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74255273&hhtmFrom=vacancy_search_list,от 70 000 руб.
Москва,Юрист,https://nn.hh.ru/vacancy/75093811,Alta Personnel,https://nn.hh.ru/employer/132302,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75093811&hhtmFrom=vacancy_search_list,от 200 000 руб.
Москва,Администратор (ресторана)/ Офис-менеджер / Хозяйка (хозяин) офиса,https://nn.hh.ru/vacancy/74961437,ТЕГОЛА,https://nn.hh.ru/employer/1985,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74961437&hhtmFrom=vacancy_search_list,65 000 – 81 000 руб.
Москва,Педагог по развитию мозга,https://nn.hh.ru/vacancy/74258207,Ноошкола,https://nn.hh.ru/employer/5060079,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74258207&hhtmFrom=vacancy_search_list,
Москва,Специалист Центра московского долголетия,https://nn.hh.ru/vacancy/75075614,ГБУ города Москвы Территориальный центр социального обслуживания Марьино,https://nn.hh.ru/employer/5417048,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75075614&hhtmFrom=vacancy_search_list,30 000 – 45 000 руб.
Москва,Менеджер Wildberries,https://nn.hh.ru/vacancy/75154664,ИП Павлов Виталий Петрович,https://nn.hh.ru/employer/8969804,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75154664&hhtmFrom=vacancy_search_list,20 000 – 60 000 руб.
Москва,Руководитель проектов по внешней торговле,https://nn.hh.ru/vacancy/75159097,Нек. орг. Информационно-аналитический центр по вопросам внешнеторговой деятельности,https://nn.hh.ru/employer/2766806,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75159097&hhtmFrom=vacancy_search_list,
Москва,Администратор ресепшен (ассистент / помощник мастера-консультанта) BMW & Porsche,https://nn.hh.ru/vacancy/74014676,Jet.Gmbh,https://nn.hh.ru/employer/4129768,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74014676&hhtmFrom=vacancy_search_list,от 60 000 руб.
Москва,Менеджер-организатор,https://nn.hh.ru/vacancy/74247822,Юные Патриоты Родины,https://nn.hh.ru/employer/5926732,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74247822&hhtmFrom=vacancy_search_list,от 80 000 руб.
Москва,Водитель на грузовой автомобиль (категория В),https://nn.hh.ru/vacancy/74296634,ООО Убиратор,https://nn.hh.ru/employer/4096594,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74296634&hhtmFrom=vacancy_search_list,100 000 – 110 000 руб.
Москва,Руководитель отдела продаж,https://nn.hh.ru/vacancy/74990374,Carshauler.com,https://nn.hh.ru/employer/9455089,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74990374&hhtmFrom=vacancy_search_list,от 5 000 USD
Москва,Специалист по уходу за растениями,https://nn.hh.ru/vacancy/75101656,ИП Медвидь Евгений Васильевич,https://nn.hh.ru/employer/5977159,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75101656&hhtmFrom=vacancy_search_list,50 000 – 50 000 руб.
Москва,Администратор в офис,https://nn.hh.ru/vacancy/73359229,ИП Дмитриев Алексей Валерьевич,https://nn.hh.ru/employer/6147208,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73359229&hhtmFrom=vacancy_search_list,40 000 – 60 000 руб.
Москва,Инспектор ДПС (дорожно-патрульная служба),https://nn.hh.ru/vacancy/73674234,1 СБ ДПС ГИБДД на спецтрассе ГУ МВД России по г.Москва,https://nn.hh.ru/employer/1100232,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73674234&hhtmFrom=vacancy_search_list,от 69 500 руб.
Москва,Администратор фотостудии / Старший администратор / Управляющий фотостудией,https://nn.hh.ru/vacancy/73972441,FOTOFABRIKA,https://nn.hh.ru/employer/3368514,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73972441&hhtmFrom=vacancy_search_list,45 000 – 100 000 руб.
Москва,Сотрудник по уходу за животными / Котоняня,https://nn.hh.ru/vacancy/74820033,ООО Ант,https://nn.hh.ru/employer/9153798,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74820033&hhtmFrom=vacancy_search_list,30 000 – 35 000 руб.
Москва,Начинающий стример,https://nn.hh.ru/vacancy/74967497,ООО Дейтер,https://nn.hh.ru/employer/2017538,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74967497&hhtmFrom=vacancy_search_list,15 000 – 25 000 руб.
Москва,Водитель автобуса регулярных пассажирских маршрутов,https://nn.hh.ru/vacancy/20436447,ГУП Мосгортранс,https://nn.hh.ru/employer/1435226,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=20436447&hhtmFrom=vacancy_search_list,80 000 – 130 000 руб.
Москва,Массажист,https://nn.hh.ru/vacancy/73722993,Лорд Лолита Витальевна,https://nn.hh.ru/employer/6134202,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73722993&hhtmFrom=vacancy_search_list,100 000 – 200 000 руб.
