area,title,link,employer_name,employer_link,employer_img,respond_link,salary
Новосибирск,Продавец-кассир,https://nn.hh.ru/vacancy/75053541,Магазин канцтоваров Школьник,https://nn.hh.ru/employer/3864420,https://img.hhcdn.ru/employer-logo/5622777.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75053541&hhtmFrom=vacancy_search_list,26 000 – 32 000 руб.
Новосибирск,"Менеджер по работе с клиентами (удаленная работа, продажи)",https://nn.hh.ru/vacancy/66122605,VooLna,https://nn.hh.ru/employer/3153540,https://img.hhcdn.ru/employer-logo/4249621.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=66122605&hhtmFrom=vacancy_search_list,50 000 – 100 000 руб.
Новосибирск,Мойщица (мойщик) посуды,https://nn.hh.ru/vacancy/73929284,Боулинг-центр Quantum,https://nn.hh.ru/employer/2597017,https://img.hhcdn.ru/employer-logo/4048944.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73929284&hhtmFrom=vacancy_search_list,от 25 000 руб.
Новосибирск,"Продавец-консультант в магазин детской брендовой одежды и обуви (ТЦ Аура, ТЦ Галерея)",https://nn.hh.ru/vacancy/75049292,MIMIMODA,https://nn.hh.ru/employer/2112668,https://img.hhcdn.ru/employer-logo/2386221.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75049292&hhtmFrom=vacancy_search_list,35 000 – 70 000 руб.
Новосибирск,Курьер Срочно (ежедневные выплаты),https://nn.hh.ru/vacancy/75210194,Курьер - Центр Найма,https://nn.hh.ru/employer/9139449,https://img.hhcdn.ru/employer-logo/5765173.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75210194&hhtmFrom=vacancy_search_list,67 800 – 135 400 руб.
Новосибирск,Курьер на легкие посылки (Подработка),https://nn.hh.ru/vacancy/73802372,Центр обучения курьеров,https://nn.hh.ru/employer/5371934,https://img.hhcdn.ru/employer-logo/5734873.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73802372&hhtmFrom=vacancy_search_list,80 000 – 137 000 руб.
Новосибирск,Специалист сервисного обслуживания,https://nn.hh.ru/vacancy/70570077,Сбер для экспертов,https://nn.hh.ru/employer/3529,https://img.hhcdn.ru/employer-logo/5756157.png,https://nn.hh.ruhttps://hh.ru/vacancy/69061749,от 50 600 руб.
Новосибирск,Курьер Срочно (ежедневная оплата),https://nn.hh.ru/vacancy/74822917,Курьерская служба,https://nn.hh.ru/employer/9159577,https://img.hhcdn.ru/employer-logo/5715245.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74822917&hhtmFrom=vacancy_search_list,68 230 – 128 750 руб.
Новосибирск,Курьер Срочно (Подработка),https://nn.hh.ru/vacancy/74695735,Курьерская служба,https://nn.hh.ru/employer/9159577,https://img.hhcdn.ru/employer-logo/5715245.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74695735&hhtmFrom=vacancy_search_list,68 200 – 128 730 руб.
Новосибирск,Водитель-курьер (подработка),https://nn.hh.ru/vacancy/69200043,СберМаркет,https://nn.hh.ru/employer/1272486,https://img.hhcdn.ru/employer-logo/3899104.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=69200043&hhtmFrom=vacancy_search_list,до 160 000 руб.
Новосибирск,Клиентский менеджер Сбербанк Премьер,https://nn.hh.ru/vacancy/71292118,Сбер для экспертов,https://nn.hh.ru/employer/3529,https://img.hhcdn.ru/employer-logo/5756157.png,https://nn.hh.ruhttps://hh.ru/vacancy/69858022,от 74 900 руб.
Новосибирск,Начинающий специалист по продажам без поиска,https://nn.hh.ru/vacancy/73305977,билайн: Контактные центры,https://nn.hh.ru/employer/4934,https://img.hhcdn.ru/employer-logo/4050092.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73305977&hhtmFrom=vacancy_search_list,40 000 – 80 000 руб.
Новосибирск,Курьер Срочно (ежедневные выплаты),https://nn.hh.ru/vacancy/75169469,Курьерская служба,https://nn.hh.ru/employer/9159577,https://img.hhcdn.ru/employer-logo/5715245.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75169469&hhtmFrom=vacancy_search_list,68 200 – 135 700 руб.
Новосибирск,Курьер по доставке легких заказов (Подработка),https://nn.hh.ru/vacancy/75065663,Я.Курьер (ИП Парфенова Дарья Олеговна),https://nn.hh.ru/employer/5098942,https://img.hhcdn.ru/employer-logo/4133297.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75065663&hhtmFrom=vacancy_search_list,75 000 – 139 000 руб.
Новосибирск,Старший менеджер по работе с клиентами,https://nn.hh.ru/vacancy/72424822,Сбер для экспертов,https://nn.hh.ru/employer/3529,https://img.hhcdn.ru/employer-logo/5756157.png,https://nn.hh.ruhttps://hh.ru/vacancy/72282900,от 66 700 руб.
Новосибирск,Курьер,https://nn.hh.ru/vacancy/74944685,Самокат (ООО Лидер консалт - официальный партнер),https://nn.hh.ru/employer/5331842,https://img.hhcdn.ru/employer-logo/3807844.jpeg,https://nn.hh.ruhttps://vrsurvey.hh.ru/samokat_courier?utm_source=hh_lead_gen&utm_medium=VHR&utm_campaign=samokat_kurier,
Новосибирск,Курьер (подработка),https://nn.hh.ru/vacancy/75188240,ООО Догма Голд,https://nn.hh.ru/employer/4419529,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75188240&hhtmFrom=vacancy_search_list,до 75 000 руб.
Новосибирск,Водитель-курьер с личным автомобилем,https://nn.hh.ru/vacancy/71934043,ООО Изи Лоджистик,https://nn.hh.ru/employer/4154423,,https://nn.hh.ruhttps://reg.eda.yandex.ru/?user_login_creator=head_hunter_ac&utm_source=12212&advertisement_campaign=taxiparks_eda_ac&utm_campaign=avto,до 115 000 руб.
Новосибирск,Курьер к партнеру Delivery Club,https://nn.hh.ru/vacancy/74304538,Delivery Club,https://nn.hh.ru/employer/592442,https://img.hhcdn.ru/employer-logo/4121405.png,https://nn.hh.ruhttps://reg.eda.yandex.ru/?user_login_creator=head_hunter_ac&utm_source=12212&advertisement_campaign=taxiparks_eda_ac&utm_campaign=dc_vr,до 110 000 руб.
Новосибирск,Клиентский менеджер прямых продаж,https://nn.hh.ru/vacancy/71291660,Сбер. Работа с клиентами,https://nn.hh.ru/employer/3529,https://img.hhcdn.ru/employer-logo/5756157.png,https://nn.hh.ruhttps://hh.ru/vacancy/68446730,от 63 600 руб.
Новосибирск,Продавец-кассир,https://nn.hh.ru/vacancy/74951922,"Пятёрочка. Склад, логистика",https://nn.hh.ru/employer/1942330,https://img.hhcdn.ru/employer-logo/3422838.png,https://nn.hh.ruhttps://hh.ru/article/28280?utm_source=hh_lead_gen&utm_medium=VHR&utm_campaign=X5_kassir_rf_premium,
Новосибирск,Клиентский менеджер прямых продаж,https://nn.hh.ru/vacancy/71811548,Сбер. Работа с клиентами,https://nn.hh.ru/employer/3529,https://img.hhcdn.ru/employer-logo/5756157.png,https://nn.hh.ruhttps://hh.ru/vacancy/68447209,от 63 600 руб.
Новосибирск,Курьер на доставку Яндекс.Еда,https://nn.hh.ru/vacancy/69406954,ООО Изи Лоджистик,https://nn.hh.ru/employer/4154423,,https://nn.hh.ruhttps://reg.eda.yandex.ru/?user_login_creator=head_hunter_ac&utm_source=12212&advertisement_campaign=taxiparks_eda_ac,до 110 000 руб.
Новосибирск,Клиентский менеджер Сбербанк Премьер (Академгородок),https://nn.hh.ru/vacancy/71292221,Сбер для экспертов,https://nn.hh.ru/employer/3529,https://img.hhcdn.ru/employer-logo/5756157.png,https://nn.hh.ruhttps://hh.ru/vacancy/70811390,от 74 900 руб.
