area,title,link,employer_name,employer_link,employer_img,respond_link,salary
Санкт-Петербург,Повар Производства,https://nn.hh.ru/vacancy/74949543,"Перекресток, супермаркет",https://nn.hh.ru/employer/5357118,https://img.hhcdn.ru/employer-logo/3853036.jpeg,https://nn.hh.ruhttps://hh.ru/article/27516?utm_source=hh_lead_gen&utm_medium=vhr&utm_campaign=perekrestok_povar_2zakaz,от 33 000 руб.
Санкт-Петербург,Велокурьер,https://nn.hh.ru/vacancy/72135801,СберМаркет,https://nn.hh.ru/employer/1272486,https://img.hhcdn.ru/employer-logo/3899104.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=72135801&hhtmFrom=vacancy_search_list,до 100 000 руб.
Санкт-Петербург,Курьер на доставку Яндекс.Еда,https://nn.hh.ru/vacancy/70814483,ООО Изи Лоджистик,https://nn.hh.ru/employer/4154423,,https://nn.hh.ruhttps://reg.eda.yandex.ru/?user_login_creator=head_hunter_ac&utm_source=12212&advertisement_campaign=taxiparks_eda_ac,до 110 000 руб.
Санкт-Петербург,Велокурьер (партнер сервиса Яндекс.Еда),https://nn.hh.ru/vacancy/70814492,ООО Изи Лоджистик,https://nn.hh.ru/employer/4154423,,https://nn.hh.ruhttps://reg.eda.yandex.ru/?user_login_creator=head_hunter_ac&utm_source=12212&advertisement_campaign=taxiparks_eda_ac,до 115 000 руб.
Санкт-Петербург,Product owner в нишу авторского туризма,https://nn.hh.ru/vacancy/73984554,АВЕНТУРАМАНИЯ,https://nn.hh.ru/employer/5257615,https://img.hhcdn.ru/employer-logo/3748404.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73984554&hhtmFrom=vacancy_search_list,от 100 000 руб.
Санкт-Петербург,Регистратор на вход в квест-рум,https://nn.hh.ru/vacancy/75221072,ООО АСК,https://nn.hh.ru/employer/9456243,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75221072&hhtmFrom=vacancy_search_list,42 000 – 89 000 руб.
Санкт-Петербург,Водитель семейный,https://nn.hh.ru/vacancy/75164375,ООО Вкустер,https://nn.hh.ru/employer/4663050,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75164375&hhtmFrom=vacancy_search_list,60 000 – 70 000 руб.
Санкт-Петербург,Администратор в свадебный салон,https://nn.hh.ru/vacancy/75074918,ИП Ярикова Наталия Евгеньевна,https://nn.hh.ru/employer/5972897,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75074918&hhtmFrom=vacancy_search_list,60 000 – 150 000 руб.
Санкт-Петербург,Помощник дизайнера интерьера,https://nn.hh.ru/vacancy/75054882,LIDOLIDO,https://nn.hh.ru/employer/4139418,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75054882&hhtmFrom=vacancy_search_list,20 000 – 70 000 руб.
Санкт-Петербург,Администратор Spa-салона,https://nn.hh.ru/vacancy/74042963,SV Business House,https://nn.hh.ru/employer/5703995,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74042963&hhtmFrom=vacancy_search_list,90 000 – 180 000 руб.
Санкт-Петербург,Заместитель управляющего директора по качеству/Директор по качеству,https://nn.hh.ru/vacancy/75202952,АО 61 Бронетанковый Ремонтный Завод,https://nn.hh.ru/employer/3432042,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75202952&hhtmFrom=vacancy_search_list,до 185 000 руб.
Санкт-Петербург,Начальник технического отдела,https://nn.hh.ru/vacancy/75057365,АО 61 Бронетанковый Ремонтный Завод,https://nn.hh.ru/employer/3432042,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75057365&hhtmFrom=vacancy_search_list,90 000 – 135 000 руб.
Санкт-Петербург,Помощник психолога,https://nn.hh.ru/vacancy/74194947,ООО Прохладненский комбикормовый завод,https://nn.hh.ru/employer/9401291,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74194947&hhtmFrom=vacancy_search_list,48 357 – 59 900 руб.
Санкт-Петербург,Охранник в группу сопровождения,https://nn.hh.ru/vacancy/75054001,ООО НЬЮЭРАМЕДИА,https://nn.hh.ru/employer/5021275,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75054001&hhtmFrom=vacancy_search_list,110 000 – 150 000 руб.
