Кот без дураков,1994
Кот без прикрас,2010
01 Ведьмы. Творцы заклинаний,2001
02 Смерть. Мрачный Жнец,2001
02. Ринсвинд. Безумная звезда,2002
03 Ведьмы. Ведьмы за границей,2001
03 Ринсвинд. Посох и Шляпа,2001
Академический экзорцизм в отдельно взятом Университете,2012
Благие знамения,2012
Бум!,On-line
Ведьмы за границей,2001
Вольные Мальцы,On-line
Господин Зима,2016
Дело табак,2014
К оружию! К оружию!,ЭКСМО-Пресс
Маленькие Боги,2001
Маленький свободный народец,2016
Маскарад,2007
Мелкие боги (пер. Н.Берденников под ред. А.Жикаренцева),2003
Монахи истории. Маленькие боги (Мелкие боги),2001
На всех парах,On-line
