Бабочка и разбойник , 2006
#подчинюсь , 
Айсберг , 2005
Глаза цвета моря , 2011
Цветочный замок , 2008
Iron Rose Bleeding , 2009
Смотри... (СИ) , 
В неурочное время , 1994
I Surrender , 
Ах, как хочется влюбиться! , 2009
Вальс любви , 1995
Повелитель пустыни , 2004
Под небом Италии , 2005
Любовный ураган , 1995
4 Крыма , 2015
Огоньки в ночи , 2008
Любишь меня?.. , 1998
«Горящая» путевка , 
Mysteria alchemia (СИ) , 2017
Русалка , 1995
Только дружба? , 2002
«Подсолнух» на счастье , 1997
Аксиома любви (В огне любви) , 2005
Outcome (ИСХОД) 2 , 
… без обязательств , 
Все и сразу! , 2008
Алая роза Техаса , 2007
Актриса и Президент (СИ) , 
Алгоритм любви , 2008
Трудный выбор , 2001
3 Рассказа , 
Итальянская страсть , 2009
А потом пришла любовь , 2002
Жизнь начинается сегодня , 2004
3 (СИ) , 2014
Союз двух сердец , 2001
Алиса в стране любви , 2009
Аллилуйя женщине-цветку , 1997
A Midsummers Nightmare , 2012
А ты ревнуешь ? , 
А как ты играешь в любовь, чемпион? , 1997
Деловая женщина , 2011
2029: Целую, и спасибо! , 
Ветренный красавец , 2005
Flashes , 
Адрес любви , 2000
Не прогоняй любовь , 2006
Ночь на реке , 2004
24 часа без любви , 1998
Алмазная принцесса , 2014
Амазонка , 2001
Алхимия страсти , 2016
Алый жакет , 2003
Алмазные россыпи , 2008
Американские горки , 2010
Альбатросы любви , 1996
Алтарь любви , 1999
любви , 1996
Бегство от свадьбы , 1996
Помню все , 1996
Lying Out Loud , 2015
А если ты ошибся? , 2001
«Нити судьбы» , 
Авантюристка , 2009
Счастье по обмену , 2009
Авернское озеро: Карьеристка , 2006
Любимый, единственный... друг , 2005
Австралийская дикарка , 2007
12 историй о настоящей любви (сборник) , 2016
Насмешка судьбы , 2010
The Mammoth Book of Regency Romance , 2010
Хочу вернуть тебя , 1996
"Цепеш" , 
Cотворившие чудо , 2009
Три года ты мне снилась , 2003
Любовная дилемма , 2003
Дыхание нежных чар , 1997
«Голубой блюз» , 1996
Королева лунного света , 2009
Авантюрист , 1997
А может, это любовь? , 1998
Dare Me , 2012
А что дальше? , 2000
Manhattan Merger , 
ИНТЕРВЬЮ С ЛЮБИМЫМ , 2006
Долгожданная любовь , 2008
Вторжение любви , 1996
А что мы будем делать потом? , 1998
Любовный розыгрыш , 1997
The show goes on (СИ) , 
Айсберг страсти , 1995
Посмотри мне в глаза , 2009
The M.D. Next Door , 
«Джулия, Джулия...» , 2007
Аметистовое ожерелье , 
Ангел к Новому году , 
Deus, ex-machina , 
Ангел Габриеля , 1999
А потом будет утро... , 2008
Анаис , 2002
Ангелы не падают с небес (СИ) , 2019
Ангел с рекламного щита , 2006
Ангел с синими глазами , 2003
Ангел ночи , 2003
Ангел любви , 2012
Ангел-хранитель , 2001
The Holiday Hoax , 2012
Ангел является дважды , 2009
Ангелы носят рюкзаки [СИ] , 2017
А чудеса случаются! (СИ) , 2012
Ангел Любви (Сборник) , 
Время решений , 1997
Je taime (СИ) , 2014
