Madre,"Xocunusco, Chiapas, Pichucalco",1089,2013,70%,U.S.A.,2.75, ,Mexico
Madre,"Hamakua Coast, Kokoleka",991,2012,70%,U.S.A.,3.25, ,Hawaii
Madre,"Criollo, Hawaii",995,2012,70%,U.S.A.,3.25,Criollo,Hawaii
Madre,Kaua'i,995,2012,70%,U.S.A.,3.5, ,Hawaii
Madre,Dominican,672,2011,70%,U.S.A.,2.5, ,Dominican Republic
Madre,Upala,693,2011,70%,U.S.A.,2.75, ,Costa Rica
Madre,"Chiapas, Triple Cacao",607,2010,72%,U.S.A.,2.75, ,Mexico
Maglio,Africa,300,2008,75%,Italy,2, ,Tanzania
Maglio,Ecuador,308,2008,70%,Italy,3,Forastero (Nacional),Ecuador
Maglio,Cuba,308,2008,70%,Italy,3.25,Criollo,Cuba
Maglio,Santo Domingo,308,2008,70%,Italy,3.75,"Blend-Forastero,Criollo",Dominican Republic
Majani,Ecuador,531,2010,70%,Italy,2, ,Ecuador
Malagasy (Chocolaterie Robert),Sambirano 2006,184,2007,75%,Madagascar,2.75,Trinitario,Madagascar
Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,73%,Madagascar,3.5,Trinitario,Madagascar
Malagos,"Davao, Mt. Talamo foothills",1121,2013,65%,Philippines,3.5,Trinitario,Philippines
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,55%,U.S.A.,3.5, ,Hawaii
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,55%,U.S.A.,2.75,Blend,Hawaii
Malmo,Chuao,1856,2016,70%,Sweden,3, ,Venezuela
Mana,Ecuador,1446,2015,74%,U.S.A.,2.5, ,Ecuador
Mana,Peru,1219,2014,74%,U.S.A.,2.5, ,Peru
Mana,Venezuela,1219,2014,74%,U.S.A.,2.75, ,Venezuela
Mana,Conacado,821,2012,74%,U.S.A.,3.75, ,Dominican Republic
Manifesto Cacao,Colombia,1331,2014,70%,Colombia,2.75, ,Colombia
Manoa,Markham Valley,1522,2015,72%,U.S.A.,3.5, ,Papua New Guinea
Manoa,Coto Brus,1522,2015,72%,U.S.A.,3.75, ,Costa Rica
Manoa,"Waiahole, O'ahu",1089,2013,72%,U.S.A.,3.75, ,Hawaii
Manoa,"Liberia, #174",1003,2012,72%,U.S.A.,3.25, ,Liberia
Manoa,"Hamakua, Hawaiian Crown, #176",1007,2012,72%,U.S.A.,2.75, ,Hawaii
Manoa,Piura,1007,2012,72%,U.S.A.,3, ,Peru
Manoa,"Oahu, Winward, #151, Maunawili district",1007,2012,72%,U.S.A.,3.25, ,Hawaii
Manufaktura Czekolady,Johe,1844,2016,70%,Poland,3.75, ,Nicaragua
Manufaktura Czekolady,Peru,1848,2016,70%,Poland,3.5, ,Peru
Manufaktura Czekolady,Porcelana,1255,2014,70%,Poland,3.75,Criollo,Venezuela
Manufaktura Czekolady,Kolumbia,1279,2014,85%,Poland,3.5, ,Colombia
Manufaktura Czekolady,Grand Cru Dominican Republic,871,2012,70%,Poland,3.25, ,Dominican Republic
Manufaktura Czekolady,Grand Cru Ghana,871,2012,70%,Poland,3.5,Forastero,Ghana
Manufaktura Czekolady,Grand Cru Ecuador,875,2012,70%,Poland,3.25, ,Ecuador
Map Chocolate,"Ben Tre, Surprise Valley",1896,2016,75%,U.S.A.,3.25,Trinitario,Vietnam
Map Chocolate,"ROIG, 2014",1474,2015,70%,U.S.A.,3.5,"Criollo, Trinitario",Dominican Republic
Map Chocolate,"Maranon, 2014",1474,2015,62%,U.S.A.,3.5,Forastero (Nacional),Peru
Map Chocolate,Ecuador,1478,2015,70%,U.S.A.,3.5,Trinitario,Ecuador
Map Chocolate,"San Juan Estate, Cherry Blossoms at Night",1606,2015,70%,U.S.A.,2.75,Trinitario,Trinidad
Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,70%,U.S.A.,3.5, ,Nicaragua
Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,68%,U.S.A.,3.5,Criollo,Peru
Map Chocolate,Colombia,1610,2015,75%,U.S.A.,2.75, ,Colombia
Map Chocolate,"Kakoa Kamili, Both Man & Bird & Beast",1610,2015,72%,U.S.A.,3, ,Tanzania
Map Chocolate,Le Chocolat Chaud,1634,2015,78%,U.S.A.,3.5, ,Honduras
Marana,Piura,1872,2016,70%,Peru,3, ,Peru
Marana,Cusco,1884,2016,70%,Peru,2.75, ,Peru
Marana,San Martin,1884,2016,70%,Peru,3, ,Peru
Marigold's Finest,Cacao Nib Crunch,1808,2016,75%,Canada,3.25, , 
Marou,"Tan Phu Dong Island, Heart of Darkness",1650,2015,85%,Vietnam,3.25,Trinitario,Vietnam
Marou,Ben Tre,1650,2015,68%,Vietnam,3.5,Trinitario,Vietnam
Marou,"Dak Lak, Batch 2451",1650,2015,70%,Vietnam,3.75,Trinitario,Vietnam
Marou,"Tan Phu Dong, Treasure Island",1149,2013,75%,Vietnam,3.5,Trinitario,Vietnam
Marou,Ba Ria,845,2012,76%,Vietnam,3.5,Trinitario,Vietnam
Marou,Dong Nai,845,2012,72%,Vietnam,3.5,Trinitario,Vietnam
Marou,"Tien Giang, Gao Co-op",845,2012,70%,Vietnam,3.5,Trinitario,Vietnam
Marou,Ben Tre,849,2012,78%,Vietnam,3.5,Trinitario,Vietnam
Marou,Tien Giang,895,2012,80%,Vietnam,3,Trinitario,Vietnam
Marou,Lam Dong,955,2012,74%,Vietnam,3.5,Trinitario,Vietnam
Mars,"Matina 1-6, prototype",537,2010,65%,U.S.A.,3, ,Costa Rica
Mars,Ivory Coast,544,2010,65%,U.S.A.,3, ,Ivory Coast
Mars,Nigeria,544,2010,65%,U.S.A.,3.25, ,Nigeria
Mars,"Ghana, prototype",544,2010,65%,U.S.A.,3.5,Forastero,Ghana
Marsatta,Dominican Republic,1189,2013,74%,U.S.A.,2.25, ,Dominican Republic
Marsatta,Dominican Republic,1189,2013,89%,U.S.A.,2.5, ,Dominican Republic
Martin Mayer,Alto Beni,1836,2016,76%,Austria,2.75, ,Bolivia
Martin Mayer,Pisa,1836,2016,82%,Austria,3, ,Haiti
Martin Mayer,Tumaco,1836,2016,74%,Austria,3.25, ,Colombia
Mast Brothers,Guatemala,1450,2015,76%,U.S.A.,3, ,Guatemala
Mast Brothers,Tanzania,1450,2015,74%,U.S.A.,3.25, ,Tanzania
Mast Brothers,French Laundry 20th Anniversary,1359,2014,75%,U.S.A.,3.75,Blend,"Peru, Belize"
Mast Brothers,Shake Shack,959,2012,73%,U.S.A.,3.5,Blend,"Peru, Mad., Dom. Rep."
Mast Brothers,Madagascar,999,2012,72%,U.S.A.,2.5,Trinitario,
Mast Brothers,Chuao,999,2012,73%,U.S.A.,2.75,Trinitario,Venezuela
Mast Brothers,Brooklyn Blend,672,2011,72%,U.S.A.,3.5, , 
Mast Brothers,"Chuao, Med. Roast",701,2011,76%,U.S.A.,3,Trinitario,Venezuela
Mast Brothers,"Chuao, Dark Roast",709,2011,70%,U.S.A.,3,Trinitario,Venezuela
Mast Brothers,"Chuao, Light Roast",713,2011,81%,U.S.A.,2.75,Trinitario,Venezuela
Mast Brothers,Moho River,773,2011,70%,U.S.A.,3.5,Trinitario,Belize
Mast Brothers,Papua New Guinea,777,2011,71%,U.S.A.,2.75, ,Papua New Guinea
Mast Brothers,San Martin,777,2011,75%,U.S.A.,3, ,Peru
Mast Brothers,Conacado,777,2011,73%,U.S.A.,3.25, ,Dominican Republic
Mast Brothers,"La Red de Guanconejo, N. Highlands coop",777,2011,74%,U.S.A.,3.75, ,Dominican Republic
Mast Brothers,Patanemo,572,2010,81%,U.S.A.,2.75,Criollo,Venezuela
Mast Brothers,Ocumare de la Costa,572,2010,75%,U.S.A.,3, ,Venezuela
Mast Brothers,"Dominican Republic, Coop",572,2010,70%,U.S.A.,3.25, ,Dominican Republic
Matale,"Malekula P., 2013",1177,2013,72%,Australia,3.5,Trinitario,Vanuatu
Matale,"Somia, 2013",1177,2013,68%,Australia,4,Trinitario,Madagascar
Matale,"Kulili P., 2013",1177,2013,74%,Australia,4,Trinitario,Papua New Guinea
Matale,Blend,1181,2013,70%,Australia,3.75,Trinitario,"PNG, Vanuatu, Mad"
Maverick,Maya Mountain,1367,2014,70%,U.S.A.,3.25,Trinitario,Belize
Maverick,Elvesia,1367,2014,70%,U.S.A.,3.25, ,Dominican Republic
Maverick,Tumbes,1430,2014,82%,U.S.A.,3.25,Criollo,Peru
Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,63%,U.S.A.,3.5,Criollo,Peru
Mayacama,Hispaniola,1728,2016,72%,U.S.A.,3, ,Domincan Republic
Meadowlands,Bolivia,1287,2014,70%,U.S.A.,2.5, ,Bolivia
Meadowlands,Venezuela,1287,2014,70%,U.S.A.,2.75, ,Venezuela
Meadowlands,Belize,1287,2014,70%,U.S.A.,3,Trinitario,Belize
Meadowlands,"Nicaragua, w/ inbs",1291,2014,70%,U.S.A.,3, ,Nicaragua
Meadowlands,Dominican Republic,1291,2014,70%,U.S.A.,3.5, ,Dominican Republic
Menakao (aka Cinagra),Madagascar,837,2012,80%,Madagascar,2.5,Trinitario,Madagascar
Menakao (aka Cinagra),Madagascar,841,2012,72%,Madagascar,2.5,Trinitario,Madagascar
Mesocacao,El Salvador,1494,2015,80%,Honduras,2.75, ,El Salvador
Mesocacao,El Salvador,1494,2015,70%,Honduras,3, ,El Salvador
Mesocacao,Honduras,1347,2014,80%,Honduras,3.25, ,Honduras
Mesocacao,Honduras,1347,2014,70%,Honduras,3.5, ,Honduras
Mesocacao,"La Tronca, Matagalpa",1351,2014,70%,Honduras,3.25, ,Nicaragua
Mesocacao,"La Tronca, Matagalpa",1351,2014,80%,Honduras,3.5, ,Nicaragua
Metiisto,"Fazenda Sempre Firme P., Bahia",1267,2014,70%,Sweden,3, ,Brazil
Metiisto,Akesson Estate,1267,2014,72%,Sweden,3.5,Trinitario,Madagascar
Metropolitan,South America,1688,2015,70%,Amsterdam,3.5,Trinitario,South America
Michel Cluizel,"Chiapas, Mokaya P.",963,2012,66%,France,3.75, ,Mexico
Michel Cluizel,"Carenero Superior, Concepcion",117,2007,66%,France,3.5,Trinitario,Venezuela
Michel Cluizel,Vila Gracinda,135,2007,67%,France,3.5,Forastero,Sao Tome
Michel Cluizel,Carre Amer,24,2006,60%,France,2, , 
Michel Cluizel,Carre Grand Noir,24,2006,85%,France,2, , 
Michel Cluizel,Tamarina,24,2006,70%,France,3,Forastero,Sao Tome
Michel Cluizel,Los Ancones P.,24,2006,67%,France,4, ,Dominican Republic
Michel Cluizel,Mangaro P.,24,2006,65%,France,4,Trinitario,Madagascar
Michel Cluizel,Maralumi P.,24,2006,64%,France,4, ,Papua New Guinea
Michel Cluizel,Noir Infini,81,2006,99%,France,2, , 
Middlebury,Maya Mountain,1490,2015,80%,U.S.A.,3.5,Trinitario,Belize
Middlebury,San Juan Estate,1490,2015,70%,U.S.A.,3.5,Trinitario,Trinidad
Middlebury,Oko Caribe,1490,2015,75%,U.S.A.,3.75, ,Dominican Republic
Middlebury,"Patanemo, Epoch, Donaldo",1490,2015,75%,U.S.A.,3.75, ,Venezuela
Middlebury,Kokoa Kamili,1538,2015,75%,U.S.A.,3.25, ,Tanzania
Middlebury,"Matagalpa, Cacao Bisiesto",1538,2015,70%,U.S.A.,3.5, ,Nicaragua
Middlebury,La Red,1117,2013,75%,U.S.A.,2.5, ,Dominican Republic
Middlebury,Belize,1117,2013,80%,U.S.A.,3.25,Trinitario,Belize
Middlebury,Houseblend,887,2012,65%,U.S.A.,1.5, , 
Middlebury,Alto Beni,887,2012,75%,U.S.A.,2,Criollo,Bolivia
Middlebury,"Balinese, Java",887,2012,70%,U.S.A.,2.5,Criollo,Indonesia
Millcreek Cacao Roasters,Ecuador,1073,2013,70%,U.S.A.,2.5,Forastero (Nacional),Ecuador
Millcreek Cacao Roasters,Ecuador,825,2012,70%,U.S.A.,3.5, ,Ecuador
Mindo,Ecuador,607,2010,67%,U.S.A.,2.75, ,Ecuador
Mindo,Ecuador,607,2010,77%,U.S.A.,2.75, ,Ecuador
Minimal,"Acul-du-Nord, 2015",1920,2016,70%,Japan,3.5,"Criollo, Trinitario",Haiti
Mission,"Fazenda Camboa, Bahia",1880,2016,75%,Brazil,3.75, ,Brazil
Mission,"Bahia, Fazenda Venturosa",1626,2015,70%,Brazil,3.5,Forastero (Parazinho),Brazil
Mita,Tumaco,955,2012,65%,Colombia,2.5, ,Colombia
Moho,"Toledo District, w/ nibs",1026,2013,73%,U.S.A.,3.25,Trinitario,Belize
Moho,Toledo District,1030,2013,72%,U.S.A.,3,Trinitario,Belize
Moho,"Umoho R., Toledo District, San Felipe",607,2010,67%,U.S.A.,2.75,Trinitario,Belize
Molucca,La Red,1614,2015,70%,U.S.A.,3, ,Domincan Republic
Molucca,Indonesia,1618,2015,70%,U.S.A.,2.75, ,Indonesia
Molucca,Peru,1618,2015,70%,U.S.A.,3.25, ,Peru
Momotombo,Matagalpa,661,2011,70%,Nicaragua,2.75, ,Nicaragua
Momotombo,Mombacho,661,2011,70%,Nicaragua,2.75, ,Nicaragua
Momotombo,Oscuro,772,2011,70%,Nicaragua,3.25, ,Nicaragua
Monarque,Oko Caribe,1812,2016,72%,Canada,3.5, ,Dominican Republic
Monsieur Truffe,Papaua New Guinea,1391,2014,70%,Australia,3.25, ,Papua New Guinea
Montecristi,Manabi,1654,2015,70%,Ecuador,3.25, ,Ecuador
Montecristi,Manabi,1654,2015,63%,Ecuador,3.5, ,Ecuador
Montecristi,Manabi,1658,2015,85%,Ecuador,3.5, ,Ecuador
Muchomas (Mesocacao),Nicaragua,1462,2015,70%,U.S.A.,3.5, ,Nicaragua
Muchomas (Mesocacao),Nicaragua,1462,2015,80%,U.S.A.,3.5, ,Nicaragua
Mutari,"Kokoa Kamili, batch 1 SRB",1896,2016,68%,U.S.A.,2.75, ,Tanzania
Mutari,"Oko Caribe, batch 1 SRB",1896,2016,71%,U.S.A.,2.75, ,Domincan Republic
Mutari,"Ambanja, batch 1 SRB",1900,2016,68%,U.S.A.,2.75, ,Madagascar
Mutari,"Tien Giang, batch 1 SRB",1900,2016,80%,U.S.A.,3,Trinitario,Vietnam
Nahua,"Costa Rica, Oscuro",1049,2013,58%,Costa Rica,2.5, ,Costa Rica
Nahua,"Costa Rica, Oscuro",1049,2013,70%,Costa Rica,3, ,Costa Rica
Naive,Trinidad & Tobago,1046,2013,70%,Lithuania,3.75, ,"Trinidad, Tobago"
Naive,"Maranon Canyon, Fortunato No. 4",1133,2013,78%,Lithuania,3.75,Forastero (Nacional),Peru
Naive,Grenada,867,2012,71%,Lithuania,2.5,Trinitario,Grenada
Na�ve,Nicaragua,1379,2014,70%,Lithuania,3.25,Criollo,Nicaragua
Na�ve,Chuao,1399,2014,75%,Lithuania,2.75,Trinitario,Venezuela
Na�ve,Barinas,1399,2014,70%,Lithuania,3, ,Venezuela
Nanea,Criollo Blend,1007,2013,85%,U.S.A.,3.5, ,Hawaii
