Word,Count
Предлоги/союзы,3934
любви,374
любовь,311
сердце,96
счастье,81
страсти,76
меня,70
ночь,69
поцелуй,65
тебя,62
невеста,57
счастья,54
женщина,50
сердца,49
только,45
судьбы,44
жизнь,41
страсть,38
мечты,38
двоих,37
жизни,36
сборник,35
брак,35
любовью,35
жена,33
когда,33
свадьба,32
игра,32
подарок,31
ночи,30
тайна,28
сказка,27
мужчина,27
один,26
ангел,25
просто,25
сердец,25
свет,25
тобой,24
моей,24
быть,24
люблю,24
остров,24
желаний,23
навсегда,23
встреча,23
секрет,22
история,22
любить,22
девушка,22
чудо,21
если,21
рядом,21
любовная,21
любовный,21
надежды,20
желания,20
месть,20
день,20
прошлого,19
принцесса,19
твоих,19
друг,19
звезды,19
жених,19
роман,19
прекрасная,19
розы,18
замуж,18
шанс,18
ловушка,18
счастливый,18
будет,17
[си],17
солнце,17
влюбленных,17
выбор,17
возвращение,17
время,17
одна,17
друга,17
рождество,17
роза,16
огонь,16
вместе,16
чувств,16
плену,16
мечта,16
желание,16
снова,16
танец,15
всего,15
будь,15
невесты,15
первый,15
леди,15
замок,15
самый,15
никогда,15
лето,14
кольцо,14
соблазна,14
ангела,14
нашей,14
плейбоя,14
путешествие,14
однажды,14
свидание,14
сладкая,14
уроки,14
город,13
мной,13
себя,13
грезы,13
моего,13
мисс,13
пламя,13
месяц,13
судьба,12
рыцарь,12
пари,12
души,12
наследство,12
больше,12
любимой,12
двух,12
ошибка,12
женщины,12
герой,12
предложение,12
опасная,12
музыка,12
хочу,12
самая,12
аромат,11
сердцу,11
книга,11
слова,11
всегда,11
объятиях,11
любовник,11
цветок,11
вкус,11
весны,11
вопреки,11
тебе,11
вторая,11
праздник,11
дикая,11
дочь,11
миллион,11
мелодия,11
идеальная,11
мужчины,11
любовница,11
соблазн,11
нежный,11
песня,11
пока,11
ложь,10
море,10
грез,10
судьбой,10
поисках,10
счастливая,10
пара,10
весна,10
ветер,10
встречи,10
влечение,10
красавица,10
такая,10
ничего,10
завтра,10
ради,10
лишь,10
шоколад,10
звезда,10
небом,10
прошлое,10
мужа,10
дорога,10
искушение,10
королева,10
между,10
магия,10
маленькая,10
медовый,10
надежда,10
бойся,10
подари,10
скажи,10
соблазнение,10
строптивая,10
очень,9
дела,9
свою,9
глаз,9
друзья,9
городе,9
поневоле,9
судьбе,9
бывает,9
принца,9
мечтой,9
верю,9
игры,9
вновь,9
фортуны,9
сила,9
каприз,9
свое,9
горячий,9
обещание,9
семейные,9
дней,9
пленница,9
единственный,9
желанный,9
босса,9
радости,9
испытание,9
лучший,9
твоя,9
навстречу,9
найди,9
принц,9
после,9
небес,8
незнакомец,8
поверить,8
ожидании,8
обман,8
вино,8
власть,8
влюбленная,8
купидона,8
возьми,8
связь,8
венеции,8
замка,8
грани,8
обольщение,8
желанная,8
судьбу,8
талисман,8
ключ,8
чувства,8
золотой,8
любовное,8
уйти,8
последний,8
роковая,8
очаровательная,8
притяжение,8
семь,8
требуется,8
тайный,8
беглянка,7
белая,7
приз,7
враг,7
часть,7
моря,7
чувство,7
счастью,7
контракт,7
твоей,7
руках,7
любимого,7
страстей,7
власти,7
света,7
верить,7
сказки,7
любовники,7
путь,7
вечер,7
поцелуев,7
крылья,7
волшебный,7
каникулы,7
цвета,7
правда,7
дыхание,7
второй,7
найти,7
романа,7
глаза,7
голос,7
гордость,7
новеллы,7
снов,7
план,7
риск,7
сюрприз,7
любовные,7
всех,7
дерзкая,7
помолвка,7
скромница,7
семья,7
дороже,7
душа,7
награда,7
любишь,7
приключений,7
жаркие,7
клятва,7
ребенок,7
жить,7
забыть,7
сегодня,7
пустыни,7
дождь,7
одиночества,7
непокорная,7
лекарство,7
линия,7
приключение,7
через,7
объятия,7
новая,7
портрет,7
ночной,7
флирт,7
первая,7
поверь,7
поздняя,7
пробуждение,7
свадебный,7
секреты,7
слишком,7
снежная,7
тысяча,7
цена,7
озеро,6
дважды,6
бабочка,6
девочка,6
секретарша,6
блондинка,6
богиня,6
девчонка,6
никаких,6
большой,6
сестра,6
брачная,6
сделка,6
вызов,6
счастливой,6
роли,6
памяти,6
постели,6
сетях,6
мести,6
вернуть,6
себе,6
верный,6
иллюзия,6
влюбиться,6
свадьбы,6
полюбить,6
святого,6
волшебная,6
лета,6
надежд,6
сначала,6
радуги,6
скандал,6
есть,6
невесту,6
гость,6
гостья,6
давай,6
жениха,6
брака,6
двое,6
одну,6
красота,6
лихорадка,6
дневник,6
чего,6
своей,6
совершенство,6
единственная,6
жажда,6
жемчужина,6
контракту,6
женская,6
