"100 волшебных сказок",""
"100 сказок народов мира",""
"100 сказок народов мира",""
"100 чарівних казок світу","2013"
"13 сказок про любовь",""
"13 сказок про любовь",""
"20 сказок про белого медвежонка Мишутку",""
"365 лучших сказок мира",""
"50 исцеляющих сказок от 33 капризов","2010"
"50 сказок о чарующей искренности","2014"
"А где же раки-то зимуют?",""
"А ну-ка, вспоминай!","2011"
"А я кто?","1989"
"А, Б, В, Г…",""
"Абдуллах земният и Абдуллах морският","1984"
"Абу-Кир и Абу-Сир","1984"
"Абхазские сказки",""
"Аварские народные сказки","1972"
"Авдотья Рязаночка","1982"
"Авторская одиссея","2018"
"Ага (СИ)","2016"
"Азербайджанские сказки","1955"
"Азербайджанские тюркские сказки","2016"
"Аист и ворон",""
"Аисты",""
"Айога","1975"
"Айога",""
"АК-ЧЕЧЕК – БЕЛЫЙ ЦВЕТОК","1967"
"Ак-Чечек — Белый Цветок","1967"
"Академия пана Кляксы","1993"
"Академия пана Кляксы (пер. М.Ландман)","1993"
"Академия пана Кляксы. Путешествия пана Кляксы","1966"
"Акико",""
"Аладин и вълшебната лампа","1984"
"Албанские народные сказки","1989"
"Алдар-Косе","1977"
"Аленка",""
"Алёнушкины сказки","1979"
"Аленький цветочек","1977"
"Алешка и Аленка в Стране Шоколада (история вторая)","2014"
"Али Баба и четиридесетте разбойници","1984"
"Али-Баба и сорок разбойников","1988"
"Алиса в Зазеркалье","2011"
"Алиса в Зазеркалье (с Цветными Иллюстрациями)",""
"Алиса в Стране Чудес",""
"Алиса в стране чудес","1958"
"Алиса в стране чудес tr Заходера с иллюстрациями",""
"Алиса в стране чудес в переводе Заходера с иллюстрациями",""
"Алиса в Стране Чудес. Алиса в Зазеркалье","2010"
"Алиса в стране чудес. Сквозь зеркало и что там увидела Алиса","1967"
"Алиса под землёй","2010"
"Аліса ў Цудакуце",""
"Алладин",""
"Алладин, мудрец и джин (СИ)",""
"Алмазные стрекозы","2013"
"Алтайские сказки","1939"
"Алхимик Парцелиус","1999"
"Алхимик Парцелиус (иллюстр. М. Мисуно)","1999"
"Альпийские сказки","2006"
"Аля, Кляксич и буква А (Художник В. Чижиков)","1974"
"Аля, Кляксич и буква А. (Художник Лев Токмаков)","2016"
"Амвросий, Муркис и Ангел","2011"
"Амон-Ра",""
"Амурские сказки",""
"Амурские сказки (с рис. автора)","1946"
"Анана","1981"
"Анвэрская чайка","1990"
"Ангел","2009"
"Английские народные сказки","1957"
"Английские народные сказки","1981"
"Английские розы","2003"
"Английские Розы. Любовь и Дружба",""
"Английский язык с Марком Твеном. Принц и нищий (Mark Twain. The Prince and the Pauper)",""
"Андрей всех мудрей",""
"Андрейка и лодырь Ромашка","1980"
"Андрейка и лодырь Ромашка","1980"
"Анечка-Невеличка и Соломенный Губерт","1980"
"Анне Лисбет",""
"Ансаровы огни","1974"
"Антилопа и человек, собирающий хворост",""
"Антип-Стрелок и Чудо-Юдо","1997"
"Антошина беда","2005"
"Аня в Стране чудес","2011"
"Аня и Маня","1978"
"Апрельский снег",""
"Арбуз",""
"Аргентинские сказки","1994"
"Арина","2005"
"Артельные мужички","1974"
"Артур и война миров","2005"
"Артур и Запретный город","2004"
"Артур и месть Урдалака",""
"Артур и минимоите","2002"
"Артур и минипуты","2004"
"Архангельские новеллы","1936"
"Архангельские сказки","2016"
"Аршин, сын Вершка. Приключения желудя","1971"
"Астрель и Хранитель Леса","2009"
"Астрид Линдгрен. Лучшие сказки","2019"
"Астроградов Ключ",""
"Атака вирусов","2011"
"Атака снизу","2016"
"Афганские сказки","1984"
"Ба инь, или Сказки колокольчиков",""
"Баба Яга и ее внучки Ягобабочки","1993"
"Баба-Мора и Капитан Трумм","1983"
"Баба-яга",""
"Баба-Яга","1908"
"Баба-яга и Жихарь",""
"Баба-яга и заморышек",""
"Бабка-шептуха",""
"Бабочка и море","2012"
"Бабушка",""
"Бабушка Вьюга","1984"
"Бабушка и приемные внуки",""
"Бабушка с крылышками","2014"
"Бабушка удава","1993"
"Бабушка Чайная ложка и клад",""
"Бабушка Чачакан-Чачакан",""
"Бабушкины оладушки",""
"Бабушкины янтари","1959"
"Багдадският търговец","1984"
"Байка о том, как комар убился",""
"Байкала-озера сказки Том II разд.2","1988"
"Байкала-озера сказки Том II разд.3","1988"
"Байкала-озера сказки Том I разд.3","1988"
"Баклуша","1989"
"Балабурда","1962"
"Балкарские и карачаевские сказки","1983"
"БАЛЛАДА О ВЗАИМОСВЯЗИ ВСЕГО СО ВСЕМ",""
"Баллада о Плясуне Кенгуру","2013"
"Баллада о том, как матушка лису ловила","2011"
"Баня",""
"Барабашка, или Обещано большое вознаграждение","1998"
"Баранкин, будь человеком (с иллюстрациями)","1971"
"Баранкин, будь человеком!","2006"
"Баранкин, будь человеком!","1971"
"Баранкин, будь человеком!. Повесть-сказка","1967"
"Баранкін, будь людиною!","1978"
"Барбара и летние собаки","2012"
"Барсук и волшебный веер",""
"Барсук и лиса",""
"Барсук и лисёнок",""
"Барсук и улитка",""
"Барсук с нашего двора","2013"
"Барсучонок Лотти, или Потерянный сон",""
"Барсучья кладовая",""
"БАСТИНДА И КРЫЛАТЫЙ ЛЕВ",""
"Бастинда и крылатый лев",""
"Бац!",""
"Башкирские народные сказки в пересказе Андрея Платонова",""
"БДВ, или Большой и Добрый Великан","2005"
"Бедная вдова и клад",""
"Бедный Ослик и жирная Свинья","1954"
"Бедный рыцарь",""
"Бедняк и богач",""
"Бедняк и лисица",""
"Бедняк и счастье",""
"Бедняк Монокто","1975"
"Бедуин и араб",""
"Бежал ёжик по дорожке","2018"
"Без мамы",""
"Бекри-муйо",""
"Беларускiя народныя казкi","1957"
"Беларускiя народныя казкi",""
"Белая лебедушка","1991"
"Белая одежка",""
"Белая сказка","1980"
"Белая уточка","1991"
"Белая уточка",""
"Беличий порядок",""
"Белка",""
"Белорусские народные сказки","1958"
"Белоснежка в заколдованном замке","2003"
"Белоснежка в подводном царстве","2006"
"Белые лисы","2004"
"Белый замок","1997"
"Белый конь",""
"Белый мустанг","1977"
"Белый олень",""
"Бельчонок и ёлочка","1993"
"Белянка и Чернушка",""
"Бердолька Чарли и Гертруды Богранд","2015"
"Березка и звезда","2004"
"Березовая девушка",""
"Берёзовый сынок","1988"
"Бержиан и Дидеки","1985"
"Бесконечная книга",""
"Бесстрашная Игрэйн","2019"
"Бесстрашный Пекка","2001"
"Бесценный камушек","1973"
"Би-би-и-и-и-и-п!",""
"Бизнес крокодила Гены и другие сказочные повести","1992"
"Билли-король","2011"
"Бисерни сълзи","1981"
"Битва в Подземной стране","2000"
"Битва в Подземной стране (иллюстр. М. Мисуно)","2000"
"Битва за лес","2004"
"Битвы и приключения","1964"
"Благодарная змея",""
"Благодарность лягушки",""
"Благочестивая разбойница",""
"Блинчики",""
"Бобик в гостях у Барбоса",""
"Бобовое зёрнышко","2012"
"Бобрёнок Фиби, или Сбежавший сапфир","2017"
"Бова","1983"
"Бог горы и рыба Окодзэ",""
"Бог грозы Сомбуцу",""
"Богатырева рукавица","2011"
"Богатыри и витязи Русской земли. Образцовые сказки русских писателей","1990"
"Богатырская история (сборник)","2014"
"Божьи коровки Биби и Бобо",""
"Болгарские народные сказки","1979"
"Болезные сказки","2005"
"Болезные сказки","2005"
"Болотница пиво варит","1990"
"Болтливая жена и умная старуха",""
"Болтливая сорока","1975"
"Большая беда","1975"
"Большая книга о природе","2006"
"Большая книга о разбойнике Грабше","2017"
"Большая кошачья сказка","1977"
"Большая медведица смотрит на город","1977"
"Большие неприятности маленькой принцессы и Странствие капитана королевских гоблинов. Сказка-путешествие","2019"
"Большое плавание (с цветными иллюстрациями)",""
"Большое путешествие Хомы и Суслика","1997"
"Большой праздник белой лисы",""
"Борхес и я","1999"
"Босая принцесса","2010"
"Бототина и шестимата му братя","1981"
"Бравый Дед в Стране Оз","2003"
"Бразильские сказки и легенды","1962"
"Брайт, прелестный олень и кот",""
"Брат и птица",""
"Брати Левяче Серце","1990"
"Братья Гримм. Собрание сочинений в двух томах.","1998"
"Братья Лю","1955"
"Братья охотники",""
"Британские сказки","2015"
"Бродяга и его Брат","2015"
"Бронзовый кабан",""
"Бронзовый щелкунчик: Волшебные сказки",""
"Бросай еловый корень - хватай лисий хвост!",""
"Бузинная матушка",""
"Бука сама боится. Нестрашные сказки про страшную Буку","2011"
"Бука. Под землей","2019"
"Булат-молодец",""
"Булка цвета лисьего хвоста","1979"
"Бумажные книги Лали. Повесть-сказка","1983"
"Буратино в Изумрудном городе","2012"
"Буратино ищет клад. Повесть-сказка","2012"
"Бурундучок по имени Сим. Сим и великаны","2019"
"Бурундучок по имени Сим. Сим-мореход","2019"
"Бусина карманного карлика","2018"
"Бутылочное горлышко",""
"Бухтан Бухтанович",""
"Бухтик з тихого затону",""
"Бухтик из тихой заводи","1981"
"Бухтик из тихой заводи","1981"
"Бушующая стихия","2003"
"Бывают страны…","1991"
"Были и небылицы (сборник)","2015"
"Бюро добрых услуг рассеянного волшебника","1979"
"Бюро добрых услуг рассеянного волшебника : [сборник]","1979"
"В Африку!","2014"
"В глуши","1962"
"В горах","1962"
