100 волшебных сказок,No data;
100 сказок народов мира,No data;
100 сказок народов мира,No data;
100 чарівних казок світу,2013;
13 сказок про любовь,No data;
13 сказок про любовь,No data;
20 сказок про белого медвежонка Мишутку,No data;
365 лучших сказок мира,No data;
50 исцеляющих сказок от 33 капризов,2010;
50 сказок о чарующей искренности,2014;
А где же раки-то зимуют?,No data;
А ну-ка, вспоминай!,2011;
А я кто?,1989;
А, Б, В, Г…,No data;
Абдуллах земният и Абдуллах морският,1984;
Абу-Кир и Абу-Сир,1984;
Абхазские сказки,No data;
Аварские народные сказки,1972;
Авдотья Рязаночка,1982;
Авторская одиссея,2018;
Ага (СИ),2016;
Азербайджанские сказки,1955;
Азербайджанские тюркские сказки,2016;
Аист и ворон,No data;
Аисты,No data;
Айога,1975;
Айога,No data;
АК-ЧЕЧЕК – БЕЛЫЙ ЦВЕТОК,1967;
Ак-Чечек — Белый Цветок,1967;
Академия пана Кляксы,1993;
Академия пана Кляксы (пер. М.Ландман),1993;
Академия пана Кляксы. Путешествия пана Кляксы,1966;
Акико,No data;
Аладин и вълшебната лампа,1984;
Албанские народные сказки,1989;
Алдар-Косе,1977;
Аленка,No data;
Алёнушкины сказки,1979;
Аленький цветочек,1977;
Алешка и Аленка в Стране Шоколада (история вторая),2014;
Али Баба и четиридесетте разбойници,1984;
Али-Баба и сорок разбойников,1988;
Алиса в Зазеркалье,2011;
Алиса в Зазеркалье (с Цветными Иллюстрациями),No data;
Алиса в Стране Чудес,No data;
Алиса в стране чудес,1958;
Алиса в стране чудес tr Заходера с иллюстрациями ,No data;
Алиса в стране чудес в переводе Заходера с иллюстрациями,No data;
Алиса в Стране Чудес. Алиса в Зазеркалье,2010;
Алиса в стране чудес. Сквозь зеркало и что там увидела Алиса,1967;
Алиса под землёй,2010;
Аліса ў Цудакуце,No data;
Алладин,No data;
Алладин, мудрец и джин (СИ),No data;
Алмазные стрекозы,2013;
Алтайские сказки,1939;
Алхимик Парцелиус ,1999;
Алхимик Парцелиус (иллюстр. М. Мисуно),1999;
Альпийские сказки,2006;
Аля, Кляксич и буква А (Художник В. Чижиков),1974;
Аля, Кляксич и буква А. (Художник Лев Токмаков),2016;
Амвросий, Муркис и Ангел,2011;
Амон-Ра,No data;
Амурские сказки,No data;
Амурские сказки (с рис. автора),1946;
Анана,1981;
Анвэрская чайка,1990;
Ангел,2009;
Английские народные сказки,1957;
Английские народные сказки,1981;
Английские розы,2003;
Английские Розы. Любовь и Дружба,No data;
Английский язык с  Марком Твеном. Принц и нищий (Mark Twain. The Prince and the Pauper),No data;
Андрей всех мудрей,No data;
Андрейка и лодырь Ромашка,1980;
Андрейка и лодырь Ромашка,1980;
Анечка-Невеличка и Соломенный Губерт,1980;
Анне Лисбет,No data;
Ансаровы огни,1974;
Антилопа и человек, собирающий хворост,No data;
Антип-Стрелок и Чудо-Юдо,1997;
Антошина беда,2005;
Аня в Стране чудес,2011;
Аня и Маня,1978;
Апрельский снег,No data;
Арбуз,No data;
Аргентинские сказки,1994;
Арина,2005;
Артельные мужички,1974;
Артур и война миров,2005;
Артур и Запретный город,2004;
Артур и месть Урдалака,No data;
Артур и минимоите,2002;
Артур и минипуты,2004;
Архангельские новеллы,1936;
Архангельские сказки,2016;
Аршин, сын Вершка. Приключения желудя,1971;
Астрель и Хранитель Леса,2009;
Астрид Линдгрен. Лучшие сказки,2019;
Астроградов Ключ,No data;
Атака вирусов,2011;
Атака снизу,2016;
Афганские сказки,1984;
Ба инь, или Сказки колокольчиков,No data;
Баба Яга и ее внучки Ягобабочки,1993;
Баба-Мора и Капитан Трумм,1983;
Баба-яга,No data;
Баба-Яга,1908;
Баба-яга и Жихарь,No data;
Баба-яга и заморышек,No data;
Бабка-шептуха,No data;
Бабочка и море,2012;
Бабушка,No data;
Бабушка Вьюга,1984;
